Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2011,Albany,Doctoral Institutions,"3,554","2,059","1,495","1,076",591,485,"1,676",771,905,802,697,105
2010,Albany,Doctoral Institutions,"3,570","2,097","1,473","1,067",625,442,"1,709",786,923,794,686,108
2009,Albany,Doctoral Institutions,"3,662","2,207","1,455","1,082",639,443,"1,731",810,921,849,758,91
2008,Albany,Doctoral Institutions,"3,906","2,271","1,635","1,082",655,427,"1,939",834,"1,105",885,782,103
2007,Albany,Doctoral Institutions,"3,911","2,259","1,652","1,100",662,438,"1,927",816,"1,111",884,781,103
2006,Albany,Doctoral Institutions,"3,734","2,170","1,564","1,045",644,401,"1,810",753,"1,057",879,773,106
2005,Albany,Doctoral Institutions,"3,589","2,101","1,488","1,001",645,356,"1,792",728,"1,064",796,728,68
2003,Albany,Doctoral Institutions,"3,560","2,055","1,505",986,639,347,"1,779",701,"1,078",795,715,80
2002,Albany,Doctoral Institutions,"3,535","2,006","1,529","1,013",652,361,"1,769",675,"1,094",753,679,74
2001,Albany,Doctoral Institutions,"3,501","1,988","1,513","1,023",634,389,"1,687",635,"1,052",791,719,72
2000,Albany,Doctoral Institutions,"3,371","1,886","1,485",964,601,363,"1,605",582,"1,023",802,703,99
2020,Alfred Ceramics,Doctoral Institutions,137,130,7,57,55,2,46,41,5,34,34,0
2019,Alfred Ceramics,Doctoral Institutions,149,138,11,60,52,8,47,45,2,42,41,1
2018,Alfred Ceramics,Doctoral Institutions,150,136,14,60,50,10,49,46,3,41,40,1
2017,Alfred Ceramics,Doctoral Institutions,146,128,18,55,45,10,47,40,7,44,43,1
2016,Alfred Ceramics,Doctoral Institutions,149,124,25,54,44,10,55,43,12,40,37,3
2015,Alfred Ceramics,Doctoral Institutions,141,128,13,52,45,7,50,44,6,39,39,0
2014,Alfred Ceramics,Doctoral Institutions,146,132,14,55,47,8,52,46,6,39,39,0
2013,Alfred Ceramics,Doctoral Institutions,144,127,17,55,49,6,53,43,10,36,35,1
2012,Alfred Ceramics,Doctoral Institutions,160,137,23,56,47,9,63,50,13,41,40,1
2011,Alfred Ceramics,Doctoral Institutions,156,135,21,57,48,9,22,22,0,77,65,12
2010,Alfred Ceramics,Doctoral Institutions,151,135,16,54,46,8,23,22,1,74,67,7
2009,Alfred Ceramics,Doctoral Institutions,161,140,21,60,52,8,20,19,1,81,69,12
2008,Alfred Ceramics,Doctoral Institutions,170,152,18,64,56,8,19,18,1,87,78,9
2007,Alfred Ceramics,Doctoral Institutions,170,152,18,64,56,8,19,18,1,87,78,9
2006,Alfred Ceramics,Doctoral Institutions,163,143,20,67,57,10,23,23,0,73,63,10
2005,Alfred Ceramics,Doctoral Institutions,172,145,27,71,61,10,42,37,5,59,47,12
2003,Alfred Ceramics,Doctoral Institutions,183,151,32,70,61,9,47,39,8,66,51,15
2002,Alfred Ceramics,Doctoral Institutions,190,149,41,73,63,10,45,36,9,72,50,22
2001,Alfred Ceramics,Doctoral Institutions,197,148,49,70,61,9,47,37,10,80,50,30
2000,Alfred Ceramics,Doctoral Institutions,176,136,40,69,54,15,33,31,2,74,51,23
2020,Binghamton,Doctoral Institutions,"3,646","2,271","1,375","1,044",758,286,"1,722",771,951,880,742,138
2019,Binghamton,Doctoral Institutions,"3,726","2,253","1,473","1,066",741,325,"1,738",739,999,922,773,149
2018,Binghamton,Doctoral Institutions,"3,714","2,296","1,418","1,052",749,303,"1,713",752,961,949,795,154
2017,Binghamton,Doctoral Institutions,"3,696","2,257","1,439","1,039",733,306,"1,687",724,963,970,800,170
2016,Binghamton,Doctoral Institutions,"3,627","2,179","1,448","1,004",704,300,"1,658",691,967,965,784,181
2015,Binghamton,Doctoral Institutions,"3,520","2,104","1,416",970,665,305,"1,573",617,956,977,822,155
2014,Binghamton,Doctoral Institutions,"3,402","2,045","1,357",930,640,290,"1,524",616,908,948,789,159
2013,Binghamton,Doctoral Institutions,"3,281","1,972","1,309",897,624,273,"1,406",531,875,978,817,161
2012,Binghamton,Doctoral Institutions,"3,193","1,932","1,261",841,593,248,"1,383",524,859,969,815,154
2011,Binghamton,Doctoral Institutions,"3,094","1,825","1,269",825,571,254,"1,467",666,801,802,588,214
2010,Binghamton,Doctoral Institutions,"3,035","1,807","1,228",812,564,248,"1,435",661,774,788,582,206
2009,Binghamton,Doctoral Institutions,"3,155","1,911","1,244",840,574,266,"1,481",694,787,834,643,191
2008,Binghamton,Doctoral Institutions,"3,281","1,959","1,322",860,580,280,"1,572",711,861,849,668,181
2007,Binghamton,Doctoral Institutions,"3,243","1,937","1,306",820,562,258,"1,536",695,841,887,680,207
2006,Binghamton,Doctoral Institutions,"3,102","1,860","1,242",778,547,231,"1,469",664,805,855,649,206
2005,Binghamton,Doctoral Institutions,"2,883","1,746","1,137",721,527,194,"1,391",625,766,771,594,177
2003,Binghamton,Doctoral Institutions,"2,837","1,729","1,108",717,517,200,"1,387",638,749,733,574,159
2002,Binghamton,Doctoral Institutions,"2,882","1,713","1,169",742,505,237,"1,381",616,765,759,592,167
2001,Binghamton,Doctoral Institutions,"2,849","1,722","1,127",723,507,216,"1,340",594,746,786,621,165
2000,Binghamton,Doctoral Institutions,"2,538","1,571",967,658,475,183,"1,132",511,621,748,585,163
2020,Buffalo Center,Doctoral Institutions,"6,407","4,470","1,937","2,401","1,716",685,"2,907","1,722","1,185","1,099","1,032",67
2019,Buffalo Center,Doctoral Institutions,"6,727","4,550","2,177","2,421","1,694",727,"3,123","1,751","1,372","1,183","1,105",78
2018,Buffalo Center,Doctoral Institutions,"6,793","4,550","2,243","2,391","1,678",713,"3,185","1,737","1,448","1,217","1,135",82
2017,Buffalo Center,Doctoral Institutions,"6,803","4,581","2,222","2,385","1,673",712,"3,170","1,744","1,426","1,248","1,164",84
2016,Buffalo Center,Doctoral Institutions,"6,749","4,461","2,288","2,404","1,646",758,"3,117","1,670","1,447","1,228","1,145",83
2015,Buffalo Center,Doctoral Institutions,"6,730","4,428","2,302","2,452","1,645",807,"3,016","1,607","1,409","1,262","1,176",86
2014,Buffalo Center,Doctoral Institutions,"6,677","4,409","2,268","2,417","1,628",789,"2,955","1,557","1,398","1,305","1,224",81
2013,Buffalo Center,Doctoral Institutions,"6,639","4,377","2,262","2,389","1,610",779,"2,922","1,540","1,382","1,328","1,227",101
2012,Buffalo Center,Doctoral Institutions,"6,537","4,280","2,257","2,329","1,537",792,"2,843","1,489","1,354","1,365","1,254",111
2011,Buffalo Center,Doctoral Institutions,"6,294","4,120","2,174","2,230","1,537",693,"2,888","1,516","1,372","1,176","1,067",109
2010,Buffalo Center,Doctoral Institutions,"6,295","4,112","2,183","2,233","1,535",698,"2,901","1,533","1,368","1,161","1,044",117
2009,Buffalo Center,Doctoral Institutions,"6,542","4,275","2,267","2,287","1,554",733,"2,952","1,551","1,401","1,303","1,170",133
2008,Buffalo Center,Doctoral Institutions,"6,533","4,258","2,275","2,294","1,558",736,"2,927","1,528","1,399","1,312","1,172",140
2007,Buffalo Center,Doctoral Institutions,"6,543","4,207","2,336","2,329","1,552",777,"2,926","1,505","1,421","1,288","1,150",138
2006,Buffalo Center,Doctoral Institutions,"6,527","4,192","2,335","2,314","1,549",765,"2,911","1,493","1,418","1,302","1,150",152
2005,Buffalo Center,Doctoral Institutions,"6,456","4,149","2,307","2,374","1,581",793,"2,846","1,487","1,359","1,236","1,081",155
2003,Buffalo Center,Doctoral Institutions,"6,345","4,076","2,269","2,308","1,540",768,"2,791","1,442","1,349","1,246","1,094",152
2002,Buffalo Center,Doctoral Institutions,"6,168","3,950","2,218","2,209","1,512",697,"2,740","1,375","1,365","1,219","1,063",156
2001,Buffalo Center,Doctoral Institutions,"6,164","3,893","2,271","2,187","1,457",730,"2,653","1,266","1,387","1,324","1,170",154
2000,Buffalo Center,Doctoral Institutions,"6,035","3,750","2,285","2,149","1,405",744,"2,552","1,177","1,375","1,334","1,168",166
2020,Cornell Statutory Colleges,Doctoral Institutions,"4,467","3,460","1,007","1,219","1,129",90,"2,126","1,260",866,"1,122","1,071",51
2019,Cornell Statutory Colleges,Doctoral Institutions,"4,582","3,523","1,059","1,237","1,148",89,"2,192","1,280",912,"1,153","1,095",58
2018,Cornell Statutory Colleges,Doctoral Institutions,"4,521","3,471","1,050","1,209","1,121",88,"2,198","1,285",913,"1,114","1,065",49
2017,Cornell Statutory Colleges,Doctoral Institutions,"4,464","3,456","1,008","1,208","1,126",82,"2,148","1,280",868,"1,108","1,050",58
2016,Cornell Statutory Colleges,Doctoral Institutions,"4,399","3,407",992,"1,201","1,112",89,"2,085","1,239",846,"1,113","1,056",57
2015,Cornell Statutory Colleges,Doctoral Institutions,"4,387","3,398",989,"1,236","1,126",110,"2,051","1,231",820,"1,100","1,041",59
2014,Cornell Statutory Colleges,Doctoral Institutions,"4,389","3,385","1,004","1,247","1,139",108,"2,063","1,227",836,"1,079","1,019",60
2013,Cornell Statutory Colleges,Doctoral Institutions,"4,437","3,398","1,039","1,277","1,155",122,"2,095","1,239",856,"1,065","1,004",61
2012,Cornell Statutory Colleges,Doctoral Institutions,"4,551","3,466","1,085","1,361","1,235",126,"2,103","1,211",892,"1,087","1,020",67
2011,Cornell Statutory Colleges,Doctoral Institutions,"4,543","3,428","1,115","1,372","1,254",118,"1,736",863,873,"1,435","1,311",124
2010,Cornell Statutory Colleges,Doctoral Institutions,"4,571","3,435","1,136","1,361","1,246",115,"1,747",857,890,"1,463","1,332",131
2009,Cornell Statutory Colleges,Doctoral Institutions,"4,587","3,463","1,124","1,383","1,285",98,"1,717",875,842,"1,487","1,303",184
2008,Cornell Statutory Colleges,Doctoral Institutions,"4,818","3,713","1,105","1,412","1,309",103,"1,807",952,855,"1,599","1,452",147
2007,Cornell Statutory Colleges,Doctoral Institutions,"4,781","3,673","1,108","1,446","1,324",122,"1,788",944,844,"1,547","1,405",142
2006,Cornell Statutory Colleges,Doctoral Institutions,"4,716","3,498","1,218","1,361","1,233",128,"1,744",849,895,"1,611","1,416",195
2005,Cornell Statutory Colleges,Doctoral Institutions,"4,749","3,602","1,147","1,216","1,122",94,"1,953","1,070",883,"1,580","1,410",170
2003,Cornell Statutory Colleges,Doctoral Institutions,"5,159","4,026","1,133","1,157","1,120",37,"2,392","1,458",934,"1,610","1,448",162
2002,Cornell Statutory Colleges,Doctoral Institutions,"4,568","3,449","1,119",705,676,29,"2,221","1,298",923,"1,642","1,475",167
2001,Cornell Statutory Colleges,Doctoral Institutions,"4,536","3,410","1,126",709,684,25,"2,304","1,352",952,"1,523","1,374",149
2000,Cornell Statutory Colleges,Doctoral Institutions,"4,120","3,341",779,663,663,0,"2,203","1,424",779,"1,254","1,254",0
2020,Downstate Medical Center,Doctoral Institutions,"3,792","3,373",419,768,518,250,"2,294","2,150",144,730,705,25
2019,Downstate Medical Center,Doctoral Institutions,"3,923","3,492",431,758,517,241,"2,384","2,227",157,781,748,33
2018,Downstate Medical Center,Doctoral Institutions,"3,953","3,560",393,762,543,219,"2,389","2,233",156,802,784,18
2017,Downstate Medical Center,Doctoral Institutions,"3,965","3,602",363,735,551,184,"2,438","2,281",157,792,770,22
2016,Downstate Medical Center,Doctoral Institutions,"3,890","3,550",340,693,526,167,"2,379","2,223",156,818,801,17
2015,Downstate Medical Center,Doctoral Institutions,"3,850","3,522",328,664,503,161,"2,332","2,184",148,854,835,19
2014,Downstate Medical Center,Doctoral Institutions,"3,952","3,621",331,670,513,157,"2,389","2,236",153,893,872,21
2013,Downstate Medical Center,Doctoral Institutions,"4,287","3,859",428,797,548,249,"2,549","2,389",160,941,922,19
2012,Downstate Medical Center,Doctoral Institutions,"4,837","4,355",482,931,657,274,"2,890","2,707",183,"1,016",991,25
2011,Downstate Medical Center,Doctoral Institutions,"5,099","4,551",548,931,669,262,"3,055","2,799",256,"1,113","1,083",30
2010,Downstate Medical Center,Doctoral Institutions,"4,757","4,320",437,726,582,144,"2,886","2,627",259,"1,145","1,111",34
2009,Downstate Medical Center,Doctoral Institutions,"4,761","4,244",517,731,576,155,"2,835","2,505",330,"1,195","1,163",32
2008,Downstate Medical Center,Doctoral Institutions,"4,644","4,191",453,724,586,138,"2,731","2,459",272,"1,189","1,146",43
2007,Downstate Medical Center,Doctoral Institutions,"4,445","4,023",422,694,569,125,"2,601","2,338",263,"1,150","1,116",34
2006,Downstate Medical Center,Doctoral Institutions,"4,381","3,924",457,662,553,109,"2,583","2,267",316,"1,136","1,104",32
2005,Downstate Medical Center,Doctoral Institutions,"4,028","3,672",356,665,557,108,"2,485","2,245",240,878,870,8
2003,Downstate Medical Center,Doctoral Institutions,"3,886","3,544",342,645,551,94,"22,369","2,134",235,872,859,13
2002,Downstate Medical Center,Doctoral Institutions,"3,754","3,431",323,649,549,100,"2,245","2,032",213,860,850,10
2001,Downstate Medical Center,Doctoral Institutions,"3,610","3,239",371,663,550,113,"2,104","1,860",244,843,829,14
2000,Downstate Medical Center,Doctoral Institutions,"3,534","3,008",526,692,427,265,"1,959","1,717",242,883,864,19
2020,Environmental Science and Forestry,Doctoral Institutions,604,398,206,167,134,33,303,144,159,134,120,14
2019,Environmental Science and Forestry,Doctoral Institutions,627,394,233,186,132,54,304,141,163,137,121,16
2018,Environmental Science and Forestry,Doctoral Institutions,635,394,241,182,128,54,313,143,170,140,123,17
2017,Environmental Science and Forestry,Doctoral Institutions,606,380,226,169,121,48,295,137,158,142,122,20
2016,Environmental Science and Forestry,Doctoral Institutions,602,368,234,164,121,43,302,128,174,136,119,17
2015,Environmental Science and Forestry,Doctoral Institutions,584,353,231,168,124,44,279,111,168,137,118,19
2014,Environmental Science and Forestry,Doctoral Institutions,590,354,236,167,123,44,289,117,172,134,114,20
2013,Environmental Science and Forestry,Doctoral Institutions,600,367,233,163,122,41,289,118,171,148,127,21
2012,Environmental Science and Forestry,Doctoral Institutions,581,354,227,156,121,35,283,109,174,142,124,18
2011,Environmental Science and Forestry,Doctoral Institutions,591,352,239,158,121,37,299,120,179,134,111,23
2010,Environmental Science and Forestry,Doctoral Institutions,587,351,236,154,122,32,295,121,174,138,108,30
2009,Environmental Science and Forestry,Doctoral Institutions,584,360,224,151,120,31,290,115,175,143,125,18
2008,Environmental Science and Forestry,Doctoral Institutions,589,358,231,150,122,28,294,113,181,145,123,22
2007,Environmental Science and Forestry,Doctoral Institutions,587,358,229,156,119,37,283,115,168,148,124,24
2006,Environmental Science and Forestry,Doctoral Institutions,555,348,207,142,114,28,272,112,160,141,122,19
2005,Environmental Science and Forestry,Doctoral Institutions,524,338,186,146,115,31,253,115,138,125,108,17
2003,Environmental Science and Forestry,Doctoral Institutions,533,337,196,143,116,27,262,115,147,128,106,22
2002,Environmental Science and Forestry,Doctoral Institutions,539,344,195,142,119,23,274,113,161,123,112,11
2001,Environmental Science and Forestry,Doctoral Institutions,560,352,208,142,120,22,285,111,174,133,121,12
2000,Environmental Science and Forestry,Doctoral Institutions,524,338,186,142,114,28,253,106,147,129,118,11
2020,Optometry,Doctoral Institutions,344,276,68,121,71,50,134,117,17,89,88,1
2019,Optometry,Doctoral Institutions,352,277,75,126,71,55,136,117,19,90,89,1
2018,Optometry,Doctoral Institutions,368,286,82,137,71,66,136,121,15,95,94,1
2017,Optometry,Doctoral Institutions,356,272,84,130,66,64,133,114,19,93,92,1
2016,Optometry,Doctoral Institutions,351,271,80,128,65,63,130,115,15,93,91,2
2015,Optometry,Doctoral Institutions,348,260,88,129,61,68,122,106,16,97,93,4
2014,Optometry,Doctoral Institutions,350,264,86,122,57,65,130,113,17,98,94,4
2013,Optometry,Doctoral Institutions,343,263,80,120,61,59,122,106,16,101,96,5
2012,Optometry,Doctoral Institutions,362,263,99,139,61,78,122,104,18,101,98,3
2011,Optometry,Doctoral Institutions,364,255,109,142,56,86,131,109,22,91,90,1
2010,Optometry,Doctoral Institutions,363,253,110,145,58,87,129,109,20,89,86,3
2009,Optometry,Doctoral Institutions,374,257,117,149,56,93,129,108,21,96,93,3
2008,Optometry,Doctoral Institutions,358,254,104,135,60,75,131,105,26,92,89,3
2007,Optometry,Doctoral Institutions,361,243,118,118,52,66,154,105,49,89,86,3
2006,Optometry,Doctoral Institutions,365,239,126,116,49,67,163,109,54,86,81,5
2005,Optometry,Doctoral Institutions,358,246,112,154,67,87,135,113,22,69,66,3
2003,Optometry,Doctoral Institutions,363,254,109,171,83,88,119,101,18,73,70,3
2002,Optometry,Doctoral Institutions,367,255,112,171,82,89,122,102,20,74,71,3
2001,Optometry,Doctoral Institutions,359,245,114,169,76,93,116,98,18,74,71,3
2000,Optometry,Doctoral Institutions,314,232,82,151,78,73,104,95,9,59,59,0
2020,Stony Brook,Doctoral Institutions,"14,211","11,106","3,105","2,830","2,075",755,"8,707","6,728","1,979","2,674","2,303",371
2019,Stony Brook,Doctoral Institutions,"14,080","10,858","3,222","2,791","1,992",799,"8,628","6,570","2,058","2,661","2,296",365
2018,Stony Brook,Doctoral Institutions,"13,512","10,396","3,116","2,706","1,944",762,"8,228","6,213","2,015","2,578","2,239",339
2017,Stony Brook,Doctoral Institutions,"13,573","10,331","3,242","2,744","1,899",845,"8,179","6,137","2,042","2,650","2,295",355
2016,Stony Brook,Doctoral Institutions,"13,333","10,130","3,203","2,700","1,872",828,"8,056","6,012","2,044","2,577","2,246",331
2015,Stony Brook,Doctoral Institutions,"12,803","9,698","3,105","2,622","1,819",803,"7,662","5,675","1,987","2,519","2,204",315
2014,Stony Brook,Doctoral Institutions,"12,065","9,233","2,832","2,602","1,803",799,"7,033","5,212","1,821","2,430","2,218",212
2013,Stony Brook,Doctoral Institutions,"11,760","9,051","2,709","2,471","1,705",766,"6,827","5,099","1,728","2,247","2,247",215
2012,Stony Brook,Doctoral Institutions,"11,489","8,773","2,716","2,377","1,631",746,"6,582","4,856","1,726","2,530","2,286",244
2011,Stony Brook,Doctoral Institutions,"11,654","8,715","2,939","2,273","1,563",710,"6,320","4,552","1,768","3,061","2,600",461
2010,Stony Brook,Doctoral Institutions,"11,559","8,595","2,964","2,212","1,530",682,"6,273","4,472","1,801","3,074","2,593",481
2009,Stony Brook,Doctoral Institutions,"11,586","8,584","3,002","2,191","1,512",679,"6,224","4,398","1,826","3,171","2,674",497
2008,Stony Brook,Doctoral Institutions,"11,740","8,503","3,237","2,139","1,456",683,"6,302","4,315","1,987","3,299","2,732",567
2007,Stony Brook,Doctoral Institutions,"11,368","8,169","3,199","2,082","1,406",676,"6,045","4,127","1,918","3,241","2,636",605
2006,Stony Brook,Doctoral Institutions,"11,004","7,882","3,122","1,996","1,371",625,"5,845","3,928","1,917","3,163","2,583",580
2005,Stony Brook,Doctoral Institutions,"10,150","7,342","2,808","1,900","1,344",556,"5,613","3,839","1,774","2,637","2,159",478
2003,Stony Brook,Doctoral Institutions,"9,981","7,189","2,792","1,880","1,331",549,"5,460","3,700","1,760","2,641","2,158",483
2002,Stony Brook,Doctoral Institutions,"10,295","7,305","2,990","1,910","1,343",567,"5,618","3,697","1,921","2,767","2,265",502
2001,Stony Brook,Doctoral Institutions,"9,997","7,173","2,824","1,845","1,319",526,"5,339","3,527","1,812","2,813","2,327",486
2000,Stony Brook,Doctoral Institutions,"9,563","6,840","2,723","1,778","1,220",558,"4,863","3,378","1,695","2,712","2,242",470
2020,SUNY Polytechnic Institute,Doctoral Institutions,554,362,192,246,135,111,210,131,79,98,96,2
2019,SUNY Polytechnic Institute,Doctoral Institutions,680,379,301,292,136,156,289,147,142,99,96,3
2018,SUNY Polytechnic Institute,Doctoral Institutions,688,394,294,290,144,146,290,144,146,108,106,2
2017,SUNY Polytechnic Institute,Doctoral Institutions,672,382,290,275,139,136,294,143,151,103,100,3
2016,SUNY Polytechnic Institute,Doctoral Institutions,576,361,215,272,139,133,204,127,77,100,95,5
2015,SUNY Polytechnic Institute,Doctoral Institutions,598,362,236,277,137,140,207,116,91,114,109,5
2014,SUNY Polytechnic Institute,Doctoral Institutions,561,335,226,246,126,120,215,115,100,100,94,6
2020,Upstate Medical,Doctoral Institutions,"8,204","6,642","1,562",843,611,232,"5,880","4,816","1,064","1,481","1,215",266
2019,Upstate Medical,Doctoral Institutions,"7,935","6,388","1,547",807,565,242,"5,627","4,594","1,033","1,501","1,229",272
2018,Upstate Medical,Doctoral Institutions,"7,624","6,054","1,570",739,498,241,"5,393","4,344","1,049","1,492","1,212",280
2017,Upstate Medical,Doctoral Institutions,"7,262","5,762","1,500",682,455,227,"5,115","4,112","1,003","1,465","1,195",270
2016,Upstate Medical,Doctoral Institutions,"7,012","5,564","1,448",637,417,220,"4,865","3,922",943,"1,510","1,225",285
2015,Upstate Medical,Doctoral Institutions,"6,718","5,380","1,338",603,399,204,"4,625","3,749",876,"1,490","1,232",258
2014,Upstate Medical,Doctoral Institutions,"6,501","5,207","1,294",608,403,205,"4,412","3,563",849,"1,481","1,241",240
2013,Upstate Medical,Doctoral Institutions,"6,384","5,059","1,325",619,402,217,"4,283","3,431",852,"1,482","1,226",256
2012,Upstate Medical,Doctoral Institutions,"6,607","5,159","1,448",627,402,225,"4,389","3,444",945,"1,591","1,313",278
2011,Upstate Medical,Doctoral Institutions,"6,552","5,130","1,422",615,377,238,"3,918","3,099",819,"2,019","1,654",365
2010,Upstate Medical,Doctoral Institutions,"5,381","4,280","1,101",608,375,233,"3,220","2,599",621,"1,553","1,306",247
2009,Upstate Medical,Doctoral Institutions,"5,263","4,166","1,097",606,382,224,"3,137","2,485",652,"1,520","1,299",221
2008,Upstate Medical,Doctoral Institutions,"4,924","4,032",892,596,377,219,"2,877","2,360",517,"1,451","1,295",156
2007,Upstate Medical,Doctoral Institutions,"4,887","4,041",846,592,360,232,"2,773","2,312",461,"1,522","1,369",153
2006,Upstate Medical,Doctoral Institutions,"4,856","3,958",898,576,351,225,"2,694","2,170",524,"1,586","1,437",149
2005,Upstate Medical,Doctoral Institutions,"4,731","3,967",764,584,379,205,"2,757","2,301",456,"1,390","1,287",103
2003,Upstate Medical,Doctoral Institutions,"4,616","3,883",733,588,383,205,"2,674","2,237",437,"1,354","1,263",91
2002,Upstate Medical,Doctoral Institutions,"4,469","3,769",700,586,392,194,"2,556","2,137",419,"1,327","1,240",87
2001,Upstate Medical,Doctoral Institutions,"4,227","3,530",697,614,401,213,"2,373","1,985",388,"1,240","1,144",96
2000,Upstate Medical,Doctoral Institutions,"4,002","3,391",611,565,381,184,"2,191","1,877",314,"1,246","1,133",113
2020,Brockport,Comprehensive Colleges,"1,348","1,011",337,596,360,236,411,333,78,341,318,23
2019,Brockport,Comprehensive Colleges,"1,455","1,021",434,641,354,287,464,340,124,350,327,23
2018,Brockport,Comprehensive Colleges,"1,413",993,420,625,356,269,436,313,123,352,324,28
2017,Brockport,Comprehensive Colleges,"1,382",973,409,600,341,259,432,310,122,350,322,28
2016,Brockport,Comprehensive Colleges,"1,395",962,433,632,346,286,415,296,119,348,320,28
2015,Brockport,Comprehensive Colleges,"1,422",976,446,642,350,292,421,288,133,359,338,21
2014,Brockport,Comprehensive Colleges,"1,396",970,426,628,346,282,406,287,119,362,337,25
2013,Brockport,Comprehensive Colleges,"1,396",979,417,619,352,267,401,279,122,376,348,28
2012,Brockport,Comprehensive Colleges,"1,405",968,437,632,346,286,393,271,122,380,351,29
2011,Brockport,Comprehensive Colleges,"1,364",945,419,618,350,268,428,303,125,318,292,26
2010,Brockport,Comprehensive Colleges,"1,368",941,427,620,362,258,421,302,119,327,277,50
2009,Brockport,Comprehensive Colleges,"1,405",969,436,649,360,289,401,285,116,355,324,31
2008,Brockport,Comprehensive Colleges,"1,420",971,449,642,355,287,416,285,131,362,331,31
2007,Brockport,Comprehensive Colleges,"1,410",948,462,640,354,286,399,263,136,371,331,40
2006,Brockport,Comprehensive Colleges,"1,378",917,461,622,336,286,393,258,135,363,323,40
2005,Brockport,Comprehensive Colleges,"1,347",879,468,638,343,295,378,251,127,331,285,46
2003,Brockport,Comprehensive Colleges,"1,327",867,460,622,339,283,368,244,124,337,284,53
2002,Brockport,Comprehensive Colleges,"1,338",882,456,618,332,286,367,235,132,353,315,38
2001,Brockport,Comprehensive Colleges,"1,360",901,459,628,336,292,362,237,125,370,328,42
2000,Brockport,Comprehensive Colleges,"1,322",839,483,634,318,316,343,218,125,345,303,42
2020,Buffalo State,Comprehensive Colleges,"1,608","1,170",438,705,350,355,502,432,70,401,388,13
2019,Buffalo State,Comprehensive Colleges,"1,808","1,207",601,828,364,464,577,458,119,403,385,18
2018,Buffalo State,Comprehensive Colleges,"1,805","1,206",599,825,360,465,578,450,128,402,396,6
2017,Buffalo State,Comprehensive Colleges,"1,827","1,232",595,824,376,448,591,454,137,412,402,10
2016,Buffalo State,Comprehensive Colleges,"1,849","1,239",610,829,381,448,596,450,146,424,408,16
